"","housing_median_age","total_rooms","total_bedrooms","households","median_income","median_house_value","ocean_proximity"
"47",50,1125,322,304,2.026,142500,"NEAR BAY"
"48",43,1007,312,253,1.7348,137500,"NEAR BAY"
"49",40,624,195,160,0.9506,187500,"NEAR BAY"
"50",40,946,375,352,1.775,112500,"NEAR BAY"
"51",21,896,453,438,0.9218,171900,"NEAR BAY"
"52",43,1868,456,407,1.5045,93800,"NEAR BAY"
"53",41,3221,853,720,1.1108,97500,"NEAR BAY"
"54",52,1630,456,400,1.2475,104200,"NEAR BAY"
"55",52,1170,235,233,1.6098,87500,"NEAR BAY"
"56",52,945,243,220,1.4113,83100,"NEAR BAY"
"57",52,1238,288,259,1.5057,87500,"NEAR BAY"
"58",52,1489,335,244,0.8172,85300,"NEAR BAY"
"59",52,1387,341,304,1.2171,80300,"NEAR BAY"
"60",2,158,43,57,2.5625,60000,"NEAR BAY"
"61",52,1121,211,187,3.3929,75700,"NEAR BAY"
"62",49,135,29,23,6.1183,75000,"NEAR BAY"
"63",50,760,190,122,0.9011,86100,"NEAR BAY"
"64",52,1224,237,159,1.191,76100,"NEAR BAY"
"65",48,828,182,133,2.5938,73500,"NEAR BAY"
"66",52,1010,209,187,1.1667,78400,"NEAR BAY"
"67",48,1455,354,332,0.8056,84400,"NEAR BAY"
"68",52,1027,244,147,2.6094,81300,"NEAR BAY"
"69",52,572,109,82,1.8516,85000,"NEAR BAY"
"70",46,2801,644,611,0.9802,129200,"NEAR BAY"
"71",26,768,152,127,1.7719,82500,"NEAR BAY"
"72",46,935,297,277,0.7286,95200,"NEAR BAY"
"73",49,844,204,152,1.75,75000,"NEAR BAY"
"74",46,12,4,7,0.4999,67500,"NEAR BAY"
"75",20,835,161,133,2.483,137500,"NEAR BAY"
"76",17,1237,462,439,0.9241,177500,"NEAR BAY"
"77",36,2914,562,509,2.4464,102100,"NEAR BAY"
"78",19,1207,243,207,1.1111,108300,"NEAR BAY"
"79",23,1745,374,325,0.8026,112500,"NEAR BAY"
"80",38,684,176,155,2.0114,131300,"NEAR BAY"
"81",17,924,289,289,1.5,162500,"NEAR BAY"
"82",52,210,56,56,1.1667,112500,"NEAR BAY"
"83",52,340,97,87,1.5208,112500,"NEAR BAY"
"84",52,386,164,155,0.8075,137500,"NEAR BAY"
"85",35,948,184,169,1.8088,118800,"NEAR BAY"
"86",52,773,143,115,2.4083,98200,"NEAR BAY"
"87",40,880,451,380,0.977,118800,"NEAR BAY"
"88",10,875,348,330,0.76,162500,"NEAR BAY"
"89",10,105,42,39,0.9722,137500,"NEAR BAY"
"90",52,249,78,85,1.2434,500001,"NEAR BAY"
"91",16,994,392,362,2.0938,162500,"NEAR BAY"
"92",52,215,87,88,0.8668,137500,"NEAR BAY"
"93",52,96,31,34,0.75,162500,"NEAR BAY"
"94",27,1055,347,302,2.6354,187500,"NEAR BAY"
"95",39,1715,623,467,1.8477,179200,"NEAR BAY"
"96",36,5329,2477,2323,2.0096,130000,"NEAR BAY"
"97",31,4596,1331,1180,2.8345,183800,"NEAR BAY"
"98",29,335,107,91,2.0062,125000,"NEAR BAY"
"99",22,3682,1270,1250,1.2185,170000,"NEAR BAY"
"100",37,3633,1085,980,2.6104,193100,"NEAR BAY"
"101",29,4656,1414,1250,2.4912,257800,"NEAR BAY"
"102",28,5806,1603,1497,3.2177,273400,"NEAR BAY"
"103",39,854,242,228,3.125,237500,"NEAR BAY"
"104",52,2155,701,613,2.5795,350000,"NEAR BAY"
"105",34,5871,1914,1789,2.8406,335700,"NEAR BAY"
"106",52,1509,225,244,4.9306,313400,"NEAR BAY"
"107",52,2026,482,456,3.2727,268500,"NEAR BAY"
"108",52,1758,460,422,3.1691,259400,"NEAR BAY"
"109",52,3481,751,718,3.9,275700,"NEAR BAY"
"110",28,3337,855,802,3.9063,225000,"NEAR BAY"
"111",52,1424,289,253,5.0917,262500,"NEAR BAY"
"112",32,3809,1098,1022,2.6429,218500,"NEAR BAY"
"113",26,3959,1196,1217,3.0233,255000,"NEAR BAY"
"114",52,2376,559,519,3.1484,224100,"NEAR BAY"
"115",35,1613,428,422,3.4722,243100,"NEAR BAY"
"116",52,1279,287,291,3.1429,231600,"NEAR BAY"
"117",28,5022,1750,1661,2.4234,218500,"NEAR BAY"
"118",52,4190,1105,1037,3.0897,234100,"NEAR BAY"
"119",50,2515,399,373,5.8596,327600,"NEAR BAY"
"120",47,3175,454,485,5.2868,347600,"NEAR BAY"
"121",41,2576,406,376,5.956,366100,"NEAR BAY"
"122",37,334,54,47,4.9643,335000,"NEAR BAY"
"123",52,2800,411,403,6.3434,373600,"NEAR BAY"
"124",52,3529,574,555,5.1773,389500,"NEAR BAY"
"125",52,2612,365,367,7.2354,391100,"NEAR BAY"
"126",28,5287,1048,956,5.457,337300,"NEAR BAY"
"127",50,2935,473,479,7.5,295200,"NEAR BAY"
"128",44,3424,597,597,6.0194,292300,"NEAR BAY"
"129",40,4991,674,654,7.5544,411500,"NEAR BAY"
"130",30,2211,346,343,6.0666,311500,"NEAR BAY"
"131",34,3038,490,496,7.0548,325900,"NEAR BAY"
"132",18,1617,210,194,11.6017,392600,"NEAR BAY"
"133",35,2865,460,443,7.4882,319300,"NEAR BAY"
"134",34,5065,788,766,6.8976,333300,"NEAR BAY"
"135",28,1326,184,190,8.2049,335200,"NEAR BAY"
"136",26,1589,223,211,8.401,351200,"NEAR BAY"
"137",29,1791,271,269,6.8538,368900,"NEAR BAY"
"138",32,1835,264,263,8.317,365900,"NEAR BAY"
"139",37,1229,181,176,7.0175,366700,"NEAR BAY"
"140",39,3770,534,500,6.3302,362800,"NEAR BAY"
"141",30,292,38,52,6.3624,483300,"NEAR BAY"
"142",52,2375,333,350,7.0549,331400,"NEAR BAY"
"143",45,2964,436,426,6.7851,323500,"NEAR BAY"
"144",50,2833,605,552,2.8929,216700,"NEAR BAY"
"145",38,2254,535,487,3.0812,233100,"NEAR BAY"
"146",52,1389,212,224,5.2402,296400,"NEAR BAY"
"147",52,1971,335,308,6.5217,273700,"NEAR BAY"
"148",52,2183,465,460,3.2632,227700,"NEAR BAY"
"149",52,2286,464,441,3.0298,199600,"NEAR BAY"
"150",52,2721,541,515,4.5428,239800,"NEAR BAY"
"151",52,2024,339,340,4.072,270100,"NEAR BAY"
"152",52,2944,536,521,5.3509,302100,"NEAR BAY"
"153",52,2033,486,459,3.1603,269500,"NEAR BAY"
"154",52,1433,229,213,4.7708,314700,"NEAR BAY"
"155",52,2927,402,380,8.1564,390100,"NEAR BAY"
"156",52,2315,292,258,8.8793,410300,"NEAR BAY"
"157",52,2485,313,327,6.8591,352400,"NEAR BAY"
"158",52,1490,238,256,6.0302,287300,"NEAR BAY"
"159",52,2814,365,352,7.508,348700,"NEAR BAY"
"160",52,2093,550,483,2.7477,243800,"NEAR BAY"
"161",52,888,168,175,2.1944,211500,"NEAR BAY"
"162",52,2087,510,488,3.0149,218400,"NEAR BAY"
"163",52,2513,502,518,3.675,269900,"NEAR BAY"
"164",46,3232,835,747,3.225,218800,"NEAR BAY"
"165",42,4120,1065,1015,2.9345,225000,"NEAR BAY"
"166",43,2364,792,722,2.1429,250000,"NEAR BAY"
"167",41,1471,469,413,1.6121,171400,"NEAR BAY"
"168",29,2468,864,773,1.3929,193800,"NEAR BAY"
"169",27,1632,492,429,2.3173,125000,"NEAR BAY"
"170",45,1786,526,460,1.7772,97500,"NEAR BAY"
"171",50,629,188,196,2.6458,125000,"NEAR BAY"
"172",52,1339,391,363,2.181,138800,"NEAR BAY"
"173",36,1678,606,543,2.2303,116700,"NEAR BAY"
"174",43,2344,647,644,1.6504,151800,"NEAR BAY"
"175",52,996,228,228,2.2697,127000,"NEAR BAY"
"176",52,1591,373,347,2.1563,128600,"NEAR BAY"
"177",52,1586,398,335,2.1348,140600,"NEAR BAY"
"178",47,2046,588,554,2.6292,182700,"NEAR BAY"
"179",52,1192,289,257,2.3833,146900,"NEAR BAY"
"180",52,1803,420,401,2.957,122800,"NEAR BAY"
"181",49,2838,749,677,2.5238,169300,"NEAR BAY"
"182",52,783,184,186,1.9375,126600,"NEAR BAY"
"183",51,1590,414,392,1.9028,127900,"NEAR BAY"
"184",50,1746,480,415,2.25,123500,"NEAR BAY"
"185",52,1252,299,280,2.3929,111900,"NEAR BAY"
"186",43,5963,1344,1231,2.1917,112800,"NEAR BAY"
"187",52,1783,395,412,2.9357,107900,"NEAR BAY"
"188",30,999,264,263,1.8854,137500,"NEAR BAY"
"189",39,1469,431,389,2.1638,105500,"NEAR BAY"
"190",47,1372,395,303,2.125,95500,"NEAR BAY"
"191",52,674,180,168,3.375,116100,"NEAR BAY"
"192",43,1626,376,357,2.2542,112200,"NEAR BAY"
"193",51,175,43,55,2.1,75000,"NEAR BAY"
"194",39,461,129,123,1.6,112500,"NEAR BAY"
"195",52,902,237,227,3.625,125000,"NEAR BAY"
"196",20,2373,779,676,1.6929,115000,"NEAR BAY"
"197",52,391,128,138,1.6471,95000,"NEAR BAY"
"198",52,1137,301,259,2.59,96400,"NEAR BAY"
"199",52,769,206,183,2.57,72000,"NEAR BAY"
"200",52,472,146,126,2.6429,71300,"NEAR BAY"
"201",52,862,215,213,3.0257,80800,"NEAR BAY"
"202",50,1920,530,477,1.4886,128800,"NEAR BAY"
"203",43,1420,472,438,1.9338,112500,"NEAR BAY"
"204",52,986,258,255,1.4844,119400,"NEAR BAY"
"205",44,2340,825,751,1.6009,118100,"NEAR BAY"
"206",48,1696,396,343,2.0375,122500,"NEAR BAY"
"207",49,1175,217,219,2.293,106300,"NEAR BAY"
"208",37,2343,574,523,2.1494,132500,"NEAR BAY"
"209",30,610,145,140,1.6198,122700,"NEAR BAY"
"210",40,930,199,184,1.3281,113300,"NEAR BAY"
"211",44,1487,314,272,3.5156,109500,"NEAR BAY"
"212",52,3424,690,685,3.9048,164700,"NEAR BAY"
"213",52,762,190,195,3.0893,125000,"NEAR BAY"
"214",46,2366,575,527,2.6042,124700,"NEAR BAY"
"215",49,1826,450,424,2.5,136700,"NEAR BAY"
"216",38,3049,711,659,2.7969,141700,"NEAR BAY"
"217",29,1640,376,340,2.8321,150000,"NEAR BAY"
"218",47,1543,307,292,2.9583,138800,"NEAR BAY"
"219",34,2364,557,516,2.8365,139200,"NEAR BAY"
"220",35,1745,409,386,2.875,143800,"NEAR BAY"
"221",39,2003,500,464,3.0682,156500,"NEAR BAY"
"222",39,2018,447,446,3.0757,151000,"NEAR BAY"
"223",43,3045,499,455,4.9559,273000,"NEAR BAY"
"224",52,1547,293,268,4.7721,217100,"NEAR BAY"
"225",52,3519,711,706,3.4861,187100,"NEAR BAY"
"226",41,2070,354,340,5.1184,239600,"NEAR BAY"
"227",48,1321,263,252,4.0977,229700,"NEAR BAY"
"228",48,1694,259,238,4.744,257300,"NEAR BAY"
"229",46,1938,341,332,4.2727,246900,"NEAR BAY"
"230",50,968,195,184,2.9844,179900,"NEAR BAY"
"231",40,1060,256,235,4.1739,169600,"NEAR BAY"
"232",46,2041,405,399,3.8487,203300,"NEAR BAY"
"233",52,1813,271,277,4.0114,263400,"NEAR BAY"
"234",45,2718,451,454,4.6563,231800,"NEAR BAY"
"235",28,3144,761,669,2.9297,140500,"NEAR BAY"
"236",35,1802,459,390,2.3036,126000,"NEAR BAY"
"237",49,882,195,210,2.6667,122000,"NEAR BAY"
"238",44,1621,452,491,2.619,134700,"NEAR BAY"
"239",45,2115,533,474,2.4167,139400,"NEAR BAY"
"240",45,2021,528,480,2.7788,115400,"NEAR BAY"
"241",46,2239,508,569,2.7352,137300,"NEAR BAY"
"242",52,1477,300,269,1.8472,137000,"NEAR BAY"
"243",52,1056,224,245,2.6583,142600,"NEAR BAY"
"244",49,898,244,245,3.0536,137500,"NEAR BAY"
"245",44,2968,710,610,2.3906,111700,"NEAR BAY"
"246",43,1702,460,407,1.7188,126800,"NEAR BAY"
"247",47,881,248,241,2.625,111300,"NEAR BAY"
"248",40,494,114,135,2.8015,114800,"NEAR BAY"
"249",50,1776,473,440,1.7276,102300,"NEAR BAY"
"250",44,1678,514,495,2.0801,131900,"NEAR BAY"
"251",51,1637,463,393,2.489,119100,"NEAR BAY"
"252",52,1420,314,300,1.7546,80600,"NEAR BAY"
"253",52,591,173,137,4.0904,80600,"NEAR BAY"
"254",52,745,153,149,2.6765,88800,"NEAR BAY"
"255",49,2272,498,483,2.4338,102400,"NEAR BAY"
"256",46,1234,375,354,2.3309,98700,"NEAR BAY"
"257",43,1017,328,277,2.2604,1e+05,"NEAR BAY"
"258",42,932,254,263,1.8039,92300,"NEAR BAY"
"259",39,2689,597,537,2.2562,94800,"NEAR BAY"
"260",41,1547,415,341,2.0562,102000,"NEAR BAY"
"261",52,2300,443,423,3.5398,158400,"NEAR BAY"
"262",39,1752,399,376,3.1167,121600,"NEAR BAY"
"263",50,1867,403,378,2.5401,129100,"NEAR BAY"
"264",43,2430,502,484,2.898,121400,"NEAR BAY"
"265",44,1729,414,393,2.3125,102800,"NEAR BAY"
"266",52,1026,180,168,2.875,160000,"NEAR BAY"
"267",52,2170,428,425,3.3715,143900,"NEAR BAY"
"268",52,2329,445,417,3.5114,151200,"NEAR BAY"
"269",52,2492,415,375,4.3125,164400,"NEAR BAY"
"270",52,2198,397,369,3.22,156500,"NEAR BAY"
"271",33,142,31,47,3.875,225000,"NEAR BAY"
"272",49,1183,205,209,5.2328,174200,"NEAR BAY"
"273",52,1070,193,190,3.7262,166900,"NEAR BAY"
"274",45,1766,332,327,4.5893,163500,"NEAR BAY"
"275",39,617,95,106,5.2578,253000,"NEAR BAY"
"276",41,1411,233,214,7.0875,240700,"NEAR BAY"
"277",46,2109,387,329,3.9712,208100,"NEAR BAY"
"278",47,1229,243,256,2.9514,198100,"NEAR BAY"
"279",50,954,217,201,2.6667,172800,"NEAR BAY"
"280",37,1643,262,266,5.4446,336700,"NEAR BAY"
"281",34,1355,195,195,6.2838,318200,"NEAR BAY"
"282",23,2317,336,328,6.7527,285800,"NEAR BAY"
"283",24,2459,317,324,7.0712,293000,"NEAR BAY"
"284",22,12842,2048,1967,5.9849,371000,"NEAR BAY"
"285",42,1524,260,267,3.6875,157300,"NEAR BAY"
"286",30,3326,746,703,2.875,135300,"NEAR BAY"
"287",43,1985,440,407,3.4205,136700,"NEAR BAY"
"288",50,1642,322,284,3.2984,160700,"NEAR BAY"
"289",49,893,177,181,3.875,140600,"NEAR BAY"
"290",52,653,128,121,4.175,144000,"NEAR BAY"
"291",47,1256,270,218,4.375,161900,"NEAR BAY"
"292",48,977,194,180,4.7708,156300,"NEAR BAY"
"293",45,2324,397,384,3.5739,176000,"NEAR BAY"
"294",39,1583,349,316,3.0958,145800,"NEAR BAY"
"295",39,1612,342,322,3.3958,141900,"NEAR BAY"
"296",31,2424,533,452,1.871,90700,"NEAR BAY"
"297",41,1594,367,355,1.9356,90600,"NEAR BAY"
"298",47,2118,413,382,2.1842,107900,"NEAR BAY"
"299",37,1575,358,320,2.2917,107000,"NEAR BAY"
"300",38,1764,397,354,2.4333,98200,"NEAR BAY"
"301",50,1187,261,246,1.9479,89500,"NEAR BAY"
"302",52,754,175,165,3.9063,93800,"NEAR BAY"
"303",49,2308,452,451,1.8407,96700,"NEAR BAY"
"304",27,909,236,157,2.0786,97500,"NEAR BAY"
"305",42,1180,257,268,2.8125,97300,"NEAR BAY"
"306",43,2018,408,367,1.8913,91200,"NEAR BAY"
"307",49,1368,282,269,1.7056,91400,"NEAR BAY"
"308",52,2744,547,554,2.2768,96200,"NEAR BAY"
"309",51,2107,471,438,3.2552,120100,"NEAR BAY"
"310",52,1748,362,366,2.0556,1e+05,"NEAR BAY"
"311",52,2024,391,350,2.4659,94700,"NEAR BAY"
"312",47,1116,259,279,1.75,85700,"NEAR BAY"
"313",41,2036,510,454,2.0469,89300,"NEAR BAY"
"314",45,1852,393,349,2.7159,101400,"NEAR BAY"
"315",41,921,207,159,1.2083,72500,"NEAR BAY"
"316",45,995,238,237,1.925,74100,"NEAR BAY"
"317",36,606,132,133,1.5809,70000,"NEAR BAY"
"318",37,2680,736,667,1.4097,84600,"NEAR BAY"
"319",38,1493,370,351,0.7683,81800,"NEAR BAY"
"320",19,2207,565,520,1.3194,81400,"NEAR BAY"
"321",28,856,189,162,0.8012,81800,"NEAR BAY"
"322",26,1293,297,303,1.9479,85800,"NEAR BAY"
"323",36,847,212,159,1.1765,87100,"NEAR BAY"
"324",42,541,154,123,2.3456,83500,"NEAR BAY"
"325",44,1066,253,244,2.1538,79700,"NEAR BAY"
"326",43,707,147,155,2.5139,83400,"NEAR BAY"
"327",45,1528,291,287,1.2625,84700,"NEAR BAY"
"328",42,909,215,198,2.9063,80000,"NEAR BAY"
"329",43,1391,293,285,2.5192,76400,"NEAR BAY"
"330",44,548,119,136,2.1111,79700,"NEAR BAY"
"331",42,4074,874,780,2.455,82400,"NEAR BAY"
"332",41,1613,445,414,2.4028,97700,"NEAR BAY"
"333",47,463,134,137,2.15,97200,"NEAR BAY"
"334",43,818,193,179,2.4776,101600,"NEAR BAY"
"335",43,1473,371,341,2.1587,86500,"NEAR BAY"
"336",35,504,126,109,1.8438,90500,"NEAR BAY"
"337",46,1026,226,225,3.0298,107600,"NEAR BAY"
"338",46,769,183,178,2.25,84200,"NEAR BAY"
"339",46,2103,391,354,2.2467,88900,"NEAR BAY"
"340",45,330,76,80,4.0469,80700,"NEAR BAY"
"341",46,941,218,195,1.325,87100,"NEAR BAY"
"342",38,992,224,259,1.6196,85100,"NEAR BAY"
"343",45,990,261,260,2.1731,82000,"NEAR BAY"
"344",36,1126,263,150,1.9167,82800,"NEAR BAY"
"345",43,1036,233,213,2.069,84600,"NEAR BAY"
"346",36,1047,214,166,1.712,82100,"NEAR BAY"
"347",33,1280,307,286,2.5625,89300,"NEAR BAY"
"348",43,1587,320,306,1.9821,98300,"NEAR BAY"
"349",41,1257,271,230,2.5043,92300,"NEAR BAY"
"350",44,1218,248,254,2.3281,88800,"NEAR BAY"
"351",48,1751,390,349,1.4375,90000,"NEAR BAY"
"352",45,2299,514,484,2.5122,95500,"NEAR BAY"
"353",38,2457,624,482,1.5625,91700,"NEAR BAY"
"354",47,998,211,185,3.1587,100400,"NEAR BAY"
"355",40,1685,343,342,1.8426,94800,"NEAR BAY"
"356",46,1827,307,302,4.6696,164300,"NEAR BAY"
"357",36,2781,574,519,2.4598,155500,"NEAR BAY"
"358",39,1823,286,270,6.0749,196900,"NEAR BAY"
"359",27,2229,365,355,4.8304,279100,"NEAR BAY"
"360",34,1513,231,211,5.5701,252800,"NEAR BAY"
"361",26,3266,491,533,5.37,275400,"NEAR BAY"
"362",33,1809,261,219,6.86,250000,"NEAR BAY"
"363",28,794,111,109,7.6923,329800,"NEAR BAY"
"364",36,690,105,109,4.0313,195500,"NEAR BAY"
"365",33,1334,200,202,6.8323,255900,"NEAR BAY"
"366",30,414,54,50,4.975,311100,"NEAR BAY"
"367",36,768,93,93,5.3602,330000,"NEAR BAY"
"368",41,4400,666,648,5,248900,"NEAR BAY"
"369",46,954,161,154,2.925,142900,"NEAR BAY"
"370",40,1445,256,255,3.8913,126300,"NEAR BAY"
"371",44,1938,399,331,3.225,135800,"NEAR BAY"
"372",41,856,178,191,3.1458,130600,"NEAR BAY"
"373",24,1790,454,386,2.537,107900,"NEAR BAY"
"374",44,617,131,135,2.5568,111100,"NEAR BAY"
"375",43,1383,275,272,3.5083,122000,"NEAR BAY"
"376",49,1325,277,282,3.3125,118000,"NEAR BAY"
"377",40,1227,294,261,1.8235,95200,"NEAR BAY"
"378",35,667,140,133,3.8047,94300,"NEAR BAY"
"379",34,1223,281,280,2.2917,92500,"NEAR BAY"
"380",37,1379,287,259,2.4962,91800,"NEAR BAY"
"381",43,1534,300,295,4.0417,109400,"NEAR BAY"
"382",46,1029,181,211,3.4844,129500,"NEAR BAY"
"383",52,771,147,144,4.1458,143400,"NEAR BAY"
"384",47,824,223,166,2.625,98200,"NEAR BAY"
"385",44,1097,239,215,2.0227,103100,"NEAR BAY"
"386",49,1283,238,236,3.3333,276800,"NEAR BAY"
"387",52,1604,263,286,5.338,270900,"NEAR BAY"
"388",52,2248,422,377,3.4732,246200,"NEAR BAY"
"389",38,2263,522,509,3.5125,224200,"NEAR BAY"
"390",52,1571,349,326,3.1375,229100,"NEAR BAY"
"391",46,1520,402,375,2.8036,211600,"NEAR BAY"
"392",15,5083,1212,1146,4.5824,256100,"NEAR BAY"
"393",36,1077,293,276,3.0208,206300,"NEAR BAY"
"394",52,1248,283,275,4.0875,221300,"NEAR BAY"
"395",42,1342,291,266,4.5268,207400,"NEAR BAY"
"396",37,3061,930,924,1.7375,350000,"NEAR BAY"
"397",52,3171,698,696,3.1795,218200,"NEAR BAY"
"398",50,1211,261,227,3.8672,216700,"NEAR BAY"
"399",52,979,175,153,5.1675,270600,"NEAR BAY"
"400",52,2269,380,371,5.1696,261400,"NEAR BAY"
"401",52,1844,332,334,4.2614,261300,"NEAR BAY"
"402",52,2178,421,423,5.0551,232200,"NEAR BAY"
"403",42,1650,274,256,5.6228,375400,"NEAR BAY"
"404",52,1927,279,288,7.8864,357300,"NEAR BAY"
"405",52,2079,273,275,7.9556,374400,"NEAR BAY"
"406",52,1803,240,236,6.174,358800,"NEAR BAY"
"407",52,2041,270,253,6.9414,417500,"NEAR BAY"
"408",52,3046,373,365,8.8342,430500,"NEAR BAY"
"409",52,2318,328,312,7.1754,362900,"NEAR BAY"
"410",52,2003,250,244,10.0825,397000,"NEAR BAY"
"411",52,2261,328,335,4.9083,346800,"NEAR BAY"
"412",52,1225,169,168,5.7912,327100,"NEAR BAY"
"413",52,2315,408,369,4.5893,290100,"NEAR BAY"
"414",52,2070,329,306,5.4171,292000,"NEAR BAY"
"415",52,2616,473,487,4.125,270900,"NEAR BAY"
"416",52,2640,366,355,7.266,371100,"NEAR BAY"
"417",52,1978,293,272,5.3989,335600,"NEAR BAY"
"418",37,2220,335,362,7.8336,371300,"NEAR BAY"
"419",41,1125,195,181,6.1593,344000,"NEAR BAY"
"420",52,3078,494,462,6.381,342200,"NEAR BAY"
"421",52,3706,531,504,6.6828,370900,"NEAR BAY"
"422",37,3000,457,450,7.5385,350000,"NEAR BAY"
"423",42,2863,460,448,6.7138,368600,"NEAR BAY"
"424",52,2551,417,404,6.2425,391800,"NEAR BAY"
"425",52,2255,410,377,5.7979,415300,"NEAR BAY"
"426",52,3360,648,621,4.2813,284900,"NEAR BAY"
"427",52,1693,391,367,3.5417,287500,"NEAR BAY"
"428",44,2252,592,550,3.0132,272900,"NEAR BAY"
"429",52,2495,491,464,4.1429,259600,"NEAR BAY"
"430",52,1193,200,207,4.1912,254500,"NEAR BAY"
"431",52,1172,215,218,3.9167,235600,"NEAR BAY"
"432",52,2159,424,388,3.8897,218400,"NEAR BAY"
"433",48,2365,490,475,3.1065,229200,"NEAR BAY"
"434",46,1895,442,425,2.9926,192100,"NEAR BAY"
"435",52,1650,395,380,3.556,179300,"NEAR BAY"
"436",45,453,146,137,1.475,187500,"NEAR BAY"
"437",52,409,97,98,1.6971,138800,"NEAR BAY"
"438",10,503,118,100,2.1705,150000,"NEAR BAY"
"439",50,499,127,128,2.75,140600,"NEAR BAY"
"440",52,477,119,106,2.5682,120000,"NEAR BAY"
"441",46,1647,376,355,2.9,144800,"NEAR BAY"
"442",52,3123,749,684,2.2208,144800,"NEAR BAY"
"443",52,957,188,172,3.2344,245500,"NEAR BAY"
"444",52,589,132,131,3.5156,2e+05,"NEAR BAY"
"445",49,2026,548,521,1.9805,173700,"NEAR BAY"
"446",50,1829,536,516,2.6684,185600,"NEAR BAY"
"447",52,895,198,204,3.875,182600,"NEAR BAY"
"448",52,1909,416,406,3.006,227900,"NEAR BAY"
"449",46,3022,696,675,2.543,220700,"NEAR BAY"
"450",46,1777,446,431,2.8676,212000,"NEAR BAY"
"451",52,2803,930,876,2.1907,271400,"NEAR BAY"
"452",30,1465,439,425,1.7778,268800,"NEAR BAY"
"453",37,2619,682,616,2.52,277800,"NEAR BAY"
"454",52,1149,255,249,4.2788,332500,"NEAR BAY"
"455",52,2363,604,573,2.944,338900,"NEAR BAY"
"456",52,2604,837,769,1.725,287500,"NEAR BAY"
"457",41,685,141,123,5.2289,384600,"NEAR BAY"
"458",42,1756,465,422,2.5562,371400,"NEAR BAY"
"459",52,1204,460,477,0.949,350000,"NEAR BAY"
"460",52,609,236,250,1.1696,500001,"NEAR BAY"
"461",52,1087,371,350,1.4012,175000,"NEAR BAY"
"462",52,2773,998,949,1.1859,241700,"NEAR BAY"
"463",35,3218,1108,1000,1.7464,216700,"NEAR BAY"
"464",49,1350,368,350,2.8846,211300,"NEAR BAY"
"465",52,3084,698,694,2.7372,210200,"NEAR BAY"
"466",52,938,195,189,3.8594,196400,"NEAR BAY"
"467",52,1813,353,339,3.5625,191700,"NEAR BAY"
"468",52,1233,300,292,2.2788,182300,"NEAR BAY"
"469",44,2539,755,713,2.537,175000,"NEAR BAY"
